country,happiness_rating,GDP_per_capita,social_support_rating,life_expectancy,democratic_quality,delivery_quality,corruption_perceptions,positive_affect,negative_affect
Afghanistan,3.594628175166667,7.423861940666668,0.5082453614166668,52.26666673,-1.8952433305454548,-1.4734856865454544,0.8432827890000002,0.5486869490833334,0.3266839149166667
Albania,4.990636269333334,9.275998194916665,0.7168326824166668,67.39999961833335,0.11610458609090908,-0.2363617717272727,0.8675271620833334,0.6517215620000001,0.30211530616666665
Algeria,5.389716863625,9.512916445625,0.803581850857143,65.28999996125,-1.0313714145714286,-0.7820203984285713,0.690870593,0.6083726628571429,0.2622062457142857
Angola,4.4202988745,8.79958534225,0.7379733622500001,53.55000019,-0.74301104275,-1.18048119575,0.8670179845000001,0.61333888775,0.35117308799999997
Argentina,6.339423213785714,9.828099046714286,0.9049458375714285,67.807143075,0.21316962746153845,-0.4411304903846153,0.8438695072142857,0.8384461702857141,0.2798431907857143
Armenia,4.438665023153847,8.925176693846153,0.713775203846154,65.63076899615385,-0.3906363099230769,-0.20421586192307695,0.8667153487692307,0.5464818592307692,0.43444862046153854
Australia,7.2891902925,10.675706069166667,0.9464273651666667,72.6749998725,1.1816693652727273,1.7899920074545457,0.41120020541666674,0.7997987269166668,0.21222904058333333
Austria,7.244621475416667,10.705973149166667,0.9299974191666668,71.97833379166667,1.2753852823636362,1.6356348449999998,0.5790525078333334,0.78977180025,0.17590452608333332
Azerbaijan,4.940988540785715,9.644061088357144,0.7706493138571429,63.942857470714294,-0.9934687843076925,-0.6704649603076921,0.6983297382142858,0.5727458170714286,0.23072672842857145
Bahrain,5.860863314666667,10.64992396111111,0.8844067977500001,67.17111121222223,-1.0430459513333334,0.43083611788888887,0.5531730176,0.708192378375,0.365187693375
Bangladesh,4.717034374,7.968017067142857,0.5976595474285714,61.80714307571429,-0.9097738954615384,-0.8495732316153847,0.7427377317857145,0.6244779596153847,0.26295857442857146
Belarus,5.5711554799285725,9.698973315214285,0.9065505777142856,63.75000027285715,-0.6831265917692307,-0.839181478153846,0.6711719675000002,0.5634631996153846,0.21795100278571433
Belgium,6.9700194995,10.642706632500001,0.9201513229999999,71.24166742999999,1.0265796184545453,1.4187798717272728,0.6196595976666667,0.7953411141666665,0.23824447508333332
Belize,6.203145504,8.971822739,0.8145995735,61.909999845,0.3223937605,-0.4296169879999999,0.7755449114999999,0.7568803425,0.26610006399999997
Benin,4.015355651999999,7.582650574818181,0.47448837227272733,52.73636349727272,0.22968092490000003,-0.5446230649,0.8073860731818182,0.6174047859999999,0.34064263254545457
Bhutan,5.196599483666667,8.984349568333334,0.8489551146666666,59.90000025333333,0.42180392133333333,0.2223861713333333,0.6955741246666666,0.8157430686666668,0.2843456916666667
Bolivia,5.745791741642857,8.677428654214285,0.806475460357143,61.70714296642858,-0.23508773053846152,-0.7552694403076925,0.8173290150714285,0.766083185,0.3944799899285715
Bosnia and Herzegovina,5.1635921001666665,9.293984651416666,0.7733272860000001,66.99333318083335,-0.2904872135454546,-0.34191556145454544,0.9465459684166667,0.5806893011666667,0.30942027274999995
Botswana,3.996426939916667,9.614348491000001,0.826100533,54.99833361333333,0.7465117357272727,0.6229906352727271,0.7821571031666666,0.7103289367500002,0.2304179085
Brazil,6.658928981230768,9.581735170692308,0.900206474153846,65.24307661846153,0.14334352925000002,-0.13004572816666668,0.720677761,0.787785896923077,0.2981839444615385
Bulgaria,4.481120868272726,9.731810049636366,0.8850423096363635,66.14545440636363,0.34042207579999995,0.1195759244,0.9457082964545453,0.6071236568181818,0.22262374245454544
Burkina Faso,4.1682983362307695,7.33882621623077,0.7392488166923078,51.01230826923078,-0.33817291750000006,-0.40654114375,0.7623848043846154,0.6176805679230769,0.29782700176923077
Burundi,3.5481241704,6.5799092294,0.41765194539999995,50.916000368,-1.2095627786,-1.1387548208,0.7322702526,0.618266505,0.24412409679999997
Cambodia,4.241833635714285,7.982093777000001,0.7186684522142857,59.164285660000004,-0.5910063799230768,-0.8911856641538463,0.8532020863846153,0.797049494846154,0.371273425
Cameroon,4.578157101214287,8.025213446071428,0.7141318235714287,49.45714296571428,-0.8891051503076923,-0.9666011379230769,0.8818596303571428,0.6268856227857142,0.29778717678571426
Canada,7.400141312461537,10.654211484615386,0.9337018280833335,72.70153749923075,1.2628774146666666,1.8127420744166667,0.4099611571538462,0.8545932862307691,0.24801232046153845
Central African Republic,3.5149543284000004,6.763862323800001,0.4025590004,43.356001281999994,-1.4929141284,-1.3758540392,0.842129123,0.5615147948000001,0.3914968134
Chad,4.0452358382142855,7.520428248857143,0.6670158122142859,45.91428593142857,-1.4220297519999998,-1.350160002692308,0.8704877580000002,0.5669548171428572,0.34696080542857144
Chile,6.371415308642857,9.939951555785713,0.8463078014285713,69.27857153785715,0.7577157296923076,1.310099941076923,0.7678530215714287,0.817217162642857,0.3075393032857142
China,4.996359552642858,9.314939430785712,0.7830143187142857,68.08571352214285,-1.0629433163846154,-0.21468906999999998,,0.8235196641428572,0.15770989814285713
Colombia,6.287005628928571,9.385853631071429,0.8938775828571429,66.37857110142859,-0.6985672299230768,-0.09932493984615384,0.8504935077142858,0.8269607169285714,0.2929424472142857
Comoros,3.9439634085,7.811626990666667,0.6741893785,55.686667123333336,-0.4579709412,-1.2303802968000002,0.7529676654999999,0.6937191488333333,0.2340148215
Congo (Brazzaville),4.465707349800001,8.577571678,0.6338505804,55.93000030400001,-0.8078057302222221,-1.1927040019999997,0.7850713134444445,0.6011573612000001,0.3398544609
