,country,2019,2020,diff
0,Denmark,7.693,6.9032,-0.7897999999999996
1,Finland,7.7803,6.8528,-0.9275000000000002
2,India,3.2488,6.3174,3.0686
3,US,6.9437,6.2356,-0.7081
4,Mexico,6.4319,6.84,0.40810000000000013
5,China,5.1441,5.1294,-0.014699999999999491
6,Saudi Arabia,6.5612,6.189,-0.3722000000000003
7,Malaysia,5.428,6.1128,0.6848000000000001
